director,name
"雅克·贝汉, / , 雅克·克鲁奥德",海洋 Océans
莫滕·泰杜姆,模仿游戏 The Imitation Game
昆汀·塔伦蒂诺,被解救的姜戈 Django Unchained
巴瑞·莱文森,雨人 Rain Man
达米恩·查泽雷,爆裂鼓手 Whiplash
让-马克·瓦雷,达拉斯买家俱乐部 Dallas Buyers Club
克林特·伊斯特伍德,完美的世界 A Perfect World
达米安·斯兹弗隆,荒蛮故事 Relatos salvajes
马丁·麦克唐纳,"三块广告牌 Three Billboards Outside Ebbing, Missouri"
王家卫,花样年华 花樣年華
弗朗西斯·福特·科波拉,教父3 The Godfather: Part III
吴宇森,纵横四海 緃横四海
"克里斯托弗·诺兰,(,展开,)",记忆碎片 Memento
忻钰坤,心迷宫
李·昂克里奇,玩具总动员3 Toy Story 3
达伦·阿伦诺夫斯基,黑天鹅 Black Swan
"彼特·道格特, / ,大卫·斯沃曼, / ,李·昂克里奇","怪兽电力公司 Monsters, Inc."
是枝裕和,无人知晓 誰も知らない
梅尔·吉布森,血战钢锯岭 Hacksaw Ridge
"费尔南多·梅里尔斯, / ,卡迪亚·兰德",上帝之城 Cidade de Deus
"皮埃尔·柯芬, / ,克里斯·雷纳德",神偷奶爸 Despicable Me
李力持,唐伯虎点秋香 唐伯虎點秋香
米林宏昌,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ
大森贵弘,萤火之森 蛍火の杜へ
"唐·霍尔, / ,克里斯·威廉姆斯",超能陆战队 Big Hero 6
史蒂文·斯皮尔伯格,幸福终点站 The Terminal
克里斯托弗·诺兰,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises
阿兰·葛斯彭纳,海蒂和爷爷 Heidi
姜炯哲,阳光姐妹淘 써니
理查德·林克莱特,爱在黎明破晓前 Before Sunrise
杨德昌,一一
森淳一,小森林 夏秋篇 リトル・フォレスト 夏・秋
蒂姆·波顿,大鱼 Big Fish
温子仁,电锯惊魂 Saw
亚当·艾略特,玛丽和马克思 Mary and Max
中岛哲也,告白
刘镇伟,射雕英雄传之东成西就 射鵰英雄傳之東成西就
大卫·芬奇,消失的爱人 Gone Girl
卢卡·瓜达尼诺,请以你的名字呼唤我 Call Me by Your Name
宫崎骏,幽灵公主 もののけ姫
泷田洋二郎,入殓师 おくりびと
格斯·范·桑特,心灵捕手 Good Will Hunting
文牧野,我不是药神
詹姆斯·卡梅隆,阿凡达 Avatar
蒂姆·波顿,剪刀手爱德华 Edward Scissorhands
韦斯·安德森,布达佩斯大饭店 The Grand Budapest Hotel
梅尔·吉布森,勇敢的心 Braveheart
"马丁·斯科塞斯,看过",禁闭岛 Shutter Island
让-皮埃尔·热内,天使爱美丽 Le fabuleux destin d'Amélie Poulain
"埃里克·布雷斯, / ,J·麦基·格鲁伯",蝴蝶效应 The Butterfly Effect
马克·赫尔曼,穿条纹睡衣的男孩 The Boy in the Striped Pajamas
乔纳森·戴米,沉默的羔羊 The Silence of the Lambs
王家卫,春光乍泄 春光乍洩
昆汀·塔伦蒂诺,低俗小说 Pulp Fiction
岩井俊二,情书 Love Letter
罗曼·波兰斯基,钢琴家 The Pianist
克里斯·哥伦布,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone
路易·西霍尤斯,海豚湾 The Cove
"万籁鸣, / ,唐澄",大闹天宫
